enName,chName
revision,n.复习；温习
recipe,n.烹饪法，食谱；方法；秘诀，诀窍
alongside,prep.在……旁边，与……一起
bent,adj.决意的；极想的；弄弯的
chant,n.咏唱；圣歌
algebra,n.代数
rat,n.老鼠
entitle,vt.使享有权利；使符合资格；给……命名（或题名）
litre,n.升（同“liter”）
ripe,adj.成熟的
affair,n.事务，事件
cooker,n.炊具（锅、炉灶、烤炉等）
fountain,n.喷泉
swear,vt.宣（誓），立（誓），发（誓）
pension,n.养老金
abortion,n.流产；堕胎；挫折；畸形
beard,n.胡须
fever,n.发烧，发热
sour,adj.酸的，酸味的
scratch,n.抓，挠，刮，擦
collar,n.衣领；硬领
biography,n.传记
chorus,n.合唱；齐声，异口同声
freeway,n.高速公路
thriller,n.惊险影片，惊悚影片
handkerchief,n.手帕
socket,n.孔，穴，插座，牙槽
underneath,prep.在……下面（或底下）
rob,vt.抢劫，抢夺
astronaut,n.宇航员
intellectual,adj.思维能力的；知识的；用脑力的，需思维能力的
decline,n.（数量、价值、质量等的）减少，下降，衰落，衰退
aboard,prep.在船（车、飞机）上；上（船、车、飞机）
alternative,adj.可供选择的
boycott,vt.抵制，排斥
booth,n.岗、亭；小隔间
gymnastics,n.体操
jungle,n.（热带）丛林，密林
gallon,n.加仑（英制液量单位）
bump,n.重击（声）；碰撞（声）；（碰撞造成的）肿块；路面的凹凸不平地区，隆起处
Antarctic,adj.南极的
deliberate,adj.故意的，蓄意的
hurrah,n.叫好声；喝彩声；吹呼声
terrify,vt.恐吓，使感到恐怖
strawberry,n.草莓
sausage,n.香肠，腊肠
discipline,n.训练；纪律
scold,vt.责骂
snap,vt.使喀嚓一声折断；把……吧嗒一声关上（或打开）；厉声说，给……拍照；拍（照）
lid,n.盖子
submission,n.呈送，提交；屈服，服从
ballet,n.芭蕾舞
belt,n.腰带；传动带；地带
profit,n.收益，利润，赢利
throat,n.喉咙
numb,adj.冻僵的
basement,n.地下室
stout,adj.肥壮的；结实的
dilemma,n.进退两难的处境，尴尬的处境，困境，窘境
tomb,n.坟墓
spirit,n.灵魂；幽灵，精灵；精神
ski,n.滑雪板
till,conj.直到，直到……为止
poetry,n.诗集；诗歌，诗作
punctuation,n.标点符号
systematic,adj.系统的，体系的
soap,n.肥皂，香皂
fragrant,adj.香的，芬芳的
sweep,v.扫，扫除
vast,adj.广阔的，辽阔的
ripen,v.（使某物）成熟
bench,n.长椅，长凳
shelf,n.架子（pl.shelves）
sideways,adj.斜向一边的
lip,n.嘴唇
maple,n.枫树
commission,n.任务；佣金，回扣；委员会；任职（或授衔）
awesome,adj.令人敬畏的；可怕的
thrill,n.兴奋；激动；胆战心惊；欢乐
poem,n.诗，诗歌
salad,n.色拉（西餐中的一种凉拌菜）
grain,n.谷物
flee,v.逃跑，逃避
cheese,n.奶酪
pyramid,n.金字塔
cinema,n.电影院
tension,n.紧张；紧张局势
primitive,adj.原始的
powder,n.粉，粉末
parcel,n.包裹
stadium,n.体育馆
arithmetic,n.算术
unconscious,adj.不省人事；未发觉的；无意识的
contradictory,adj.矛盾的
suspect,n.嫌疑犯
unite,v.统一；联合；团结
scene,n.（戏剧、电影等的）一场，场景，布景
nail,n.钉子
humorous,adj.幽默的，滑稽的
vague,adj.含糊的，不清楚的，茫然的，暧昧的
fridge,n.冰箱（=refrigerator）
dessert,n.（餐后的）甜点
sacred,adj.神圣的；宗教的
clever,adj.聪明的，伶俐的
wipe,vt.擦，擦去
circuit,n.周线；圈；电路
philosophy,n.哲学；思想体系；（对待生活的）理性态度；人生观
wrist,n.手腕
steward,n.乘务员, 服务员; 管理员; 管家;（比赛、集会等大型公众活动的）负责人, 统筹人, 管事, 干事
cheek,n.脸颊
shorts,n.短裤，短运动裤
helmet,n.头盔
pile,n.堆
narrow,adj.窄的，狭窄的；狭隘的
pulse,n.脉搏
revenue,n.财政收入，税收
cent,n.美分（100cents=1dollar）
sink,n.洗涤槽，洗碗池
postcard,n.明信片
bacterium,n.细菌（pl.bacteria）
ton,n.吨（重量单位）
poster,n.海报，招贴画
confidential,adj.机密的，秘密的
cabbage,n.卷心菜，洋白菜
recite,vt.背诵，朗诵；叙述，描述；列举，一一说出
scare,vt.使恐惧，惊吓
accessible,adj.可接近的，可得到的
grill,n.烤架
blouse,n.女衬衫；（妇女、儿童穿的）短上衣
tunnel,n.隧道；地道；坑道；地沟；涵洞
civilization,n.文明
badminton,n.羽毛球
spear,n.长矛
criticism,n.批评，批判；评论
hurricane,n.飓风
chest,n.胸膛，胸部；储物箱
carve,vt.雕刻
gym,n.健身房；体育馆（=gymnasium）
razor,n.剃须刀
alphabet,n.字母表
fragile,adj.易碎的; 脆的; 易损的; 虚弱的; 脆弱的; 纤巧的, 精细的
bunch,n.束，串，札，捆
tablet,n.药片；写字板，书写板；平板电脑
bid,v.申请，争取
arch,n.拱；拱道，拱门
spit,vt.吐出
composition,n.作文；作曲
pregnant,adj.怀孕的
patent,n.专利
foggy,adj.有雾的；多雾的
radioactive,adj.放射性的
greengrocer,n.果菜商
radiation,n.辐射
laundry,n.洗衣物的活；洗衣店
basis,n.基础，根据
comb,n.梳子
invent,vt.发明，创造
bowling,n.保龄球
sincerely,adv.真诚地
circumstance,n.条件，情况；情形，形势
invention,n.发明；发明物；虚构；发明才能
cope,vi.对付，应付；处理（with）
burglar,n.窃贼
purse,n.钱包
clay,n.黏土，陶土
chemist,n.药剂师；化学家
tendency,n.倾向，趋向
volcano,n.火山
camel,n.骆驼
penny,n.便士；美分（pl.pence或pennies）
hen,n.母鸡
commitment,n.承诺，保证；投入，奉献
Atlantic,adj.大西洋的
allergic,adj.过敏的
throughout,prep.贯穿；遍及
abrupt,adj.突然的；生硬的
soccer,n.（美）足球
novelist,n.（长篇）小说家
premier,n.总理
